FCLSp3,Fly Change Foot Layback Spin Level 3,
FCLSp4,Fly Change Foot Layback Spin Level 4,
CoSpB,Combo Spin Level B,
CoSp1,Combo Spin Level 1,
CoSp2,Combo Spin Level 2,
CoSp3,Combo Spin Level 3,
CoSp4,Combo Spin Level 4,
FCoSpB,Fly Combo Level B,
FCoSp1,Fly Combo Level 1,
FCoSp2,Fly Combo Level 2,
FCoSp3,Fly Combo Level 3,
FCoSp4,Fly Combo Level 4,
CoSpB V,Combo Spin Level B Spin Req. Not Met,
CoSp1 V,Combo Spin Level 1 Spin Req. Not Met,
CoSp2 V,Combo Spin Level 2 Spin Req. Not Met,
CoSp3 V,Combo Spin Level 3 Spin Req. Not Met,
CoSp4 V,Combo Spin Level 4 Spin Req. Not Met,
FCoSpB V,Fly Combo Level B Spin Req. Not Met,
FCoSp1 V,Fly Combo Level 1 Spin Req. Not Met,
FCoSp2 V,Fly Combo Level 2 Spin Req. Not Met,
FCoSp3 V,Fly Combo Level 3 Spin Req. Not Met,
FCoSp4 V,Fly Combo Level 4 Spin Req. Not Met,
CCoSpB,Change Combo Spin Level B,
CCoSp1,Change Combo Spin Level 1,
CCoSp2,Change Combo Spin Level 2,
CCoSp3,Change Combo Spin Level 3,
CCoSp4,Change Combo Spin Level 4,
FCCoSpB,Fly Change Combo Level B,
FCCoSp1,Fly Change Combo Level 1,
FCCoSp2,Fly Change Combo Level 2,
FCCoSp3,Fly Change Combo Level 3,
FCCoSp4,Fly Change Combo Level 4,
CCoSpB V,Change Combo Spin Level B Spin Req. Not Met,
CCoSp1 V,Change Combo Spin Level 1 Spin Req. Not Met,
CCoSp2 V,Change Combo Spin Level 2 Spin Req. Not Met,
CCoSp3 V,Change Combo Spin Level 3 Spin Req. Not Met,
CCoSp4 V,Change Combo Spin Level 4 Spin Req. Not Met,
FCCoSpB V,Fly Change Combo Level B Spin Req. Not Met,
FCCoSp1 V,Fly Change Combo Level 1 Spin Req. Not Met,
FCCoSp2 V,Fly Change Combo Level 2 Spin Req. Not Met,
FCCoSp3 V,Fly Change Combo Level 3 Spin Req. Not Met,
FCCoSp4 V,Fly Change Combo Level 4 Spin Req. Not Met,
